Title,Description,Priority,Labels,Status
"[BUG-01] Retry do agente re-executa tools e duplica card e atividade","agent-railway/agente/main.py:386 introduziu retry de FalhaLLM que chama run_agent do zero. Mas FalhaLLM sobe de dentro do loop de tool use (core/agent.py:365), ou seja, pode estourar na iteracao 2+ DEPOIS de enviar_card_imovel, encaminhar_corretor, criar_atividade ou salvar_qualificacao ja terem executado. O retry refaz o loop inteiro: o cliente recebe o card duas vezes e o CRM ganha atividade/encaminhamento duplicado — exatamente a 'marca de robo' que a mudanca queria evitar. Correcao: marcar as tools ja executadas no turno (idempotencia por chave no Redis) ou so retentar quando nenhuma tool com efeito colateral tiver rodado.",Urgent,"bug,agente,producao",Todo
"[BUG-02] Mensagem do cliente e descartada sem resposta","Em agent-railway/agente/main.py:356 o buffer_delete acontece ANTES do acquire_lock (362). Com o retry novo dormindo 45s segurando o lock (TTL subiu pra 240s), a task da proxima leva de mensagens apaga o buffer, falha no acquire_lock e retorna em silencio — o texto sai do Redis sem ser processado e nenhuma task nova e agendada. O cliente fica sem resposta ate mandar OUTRA mensagem. Correcao: adquirir o lock antes de consumir o buffer, ou reescrever o buffer de volta quando o lock falha.",Urgent,"bug,agente,producao",Todo
"[BUG-03] Modo campanha Guaruja se auto-ativa e se auto-isenta do controle de qualidade","A ativacao do modo campanha e substring 'guaruj' sobre todos os textos da conversa, e essa lista inclui as mensagens ENVIADAS pelo proprio agente (direcao 'enviada') e as entradas 'assistente' da memoria Redis. Dois defeitos: (1) se o agente mencionar o Guaruja espontaneamente numa conversa que nao e da campanha, ele passa a se auto-detectar pra sempre e trava no pitch agressivo; (2) em main.py:273 o analisador inclui a propria full_response na deteccao, entao uma resposta que cita Cumbuco indevidamente ativa o modo e se isenta da violacao cidade_fora — o texto sob auditoria se autoexime. Ha ainda assimetria: o agente decide com 30 mensagens + memoria e o analisador com 15, gerando alertas falsos. Correcao: persistir o modo campanha como flag na linha da conversa (mecanismo origem_lead ja existe) em vez de redetectar por palavra-chave.",High,"bug,agente,ia",Todo
"[BUG-04] origem_lead sobrescrito destroi a atribuicao de canal","agent-railway/agente/main.py:674 perdeu o guard is_nova e agora grava origem_lead='anuncio_meta' em TODA mensagem que traz contexto de anuncio. Um lead que entrou pelo site ou portal (valor setado em src/lib/whatsapp/conversa-utils.ts) e reetiquetado permanentemente ao clicar num anuncio semanas depois. Isso corrompe o relatorio de funil por canal e muda o comportamento do analyzer (analyzer.py:157 tem regras especificas pra anuncio_meta) na conversa inteira. Alem disso e um UPDATE por mensagem. Correcao: so gravar quando a conversa e nova ou quando origem_lead esta vazio.",High,"bug,agente,dados",Todo
"[BUG-05] Anti-corrida perde a primeira de duas mensagens","O fallback anti-corrida em core/agent.py:297 so dispara quando NENHUMA mensagem nova e encontrada. Na corrida parcial (a resposta do assistente e salva entre M1 e M2 do cliente), _identificar_mensagens_novas retorna so M2, o fallback nao roda e M1 fica para sempre antes da ultima linha 'enviada' — nunca mais sera vista como nova em nenhum turno. A pergunta de M1 e ignorada em silencio. Correcao: comparar o buffer com o que ja esta no historico por conteudo, e nao usar 'lista vazia' como gatilho.",High,"bug,agente",Todo
"[BUG-06] Worker do rate limiter revive durante o shutdown","agent-railway/agente/services/rate_limiter.py:115 faz respawn do worker dentro do finally, que tambem executa no caminho de asyncio.CancelledError. No redeploy do Railway o uvicorn cancela as tasks, o worker cria outra task num event loop em encerramento e aparece 'Task was destroyed but it is pending', com tentativas de envio pos-shutdown. Tambem torna o worker incancelavel enquanto houver fila. Correcao: capturar CancelledError antes do finally e nao reagendar nesse caso.",Medium,"bug,agente,infra",Todo
"[BUG-07] Reordenar o filtro de horario antes da classificacao no follow-up","Em src/app/api/cron/follow-up/route.ts:253 o gate de paridade de hora (que espalha os envios pra nao parecer robo) roda DEPOIS da classificacao PARAR/SEGUIR via Haiku (linha 183) e de varias consultas ao banco. Como metade dos leads e descartada nesse ponto, o cron paga chamada de LLM e 2 a 4 consultas por lead descartado, duas vezes por dia. Pior: a classificacao pode marcar a conversa como 'finalizado' numa passada em que o lead seria descartado de qualquer jeito. O gate depende so de conversa.id, data e hora — pode subir pro topo do loop. Correcao: mover o gate pra antes da classificacao e das consultas.",High,"bug,follow-up,custo",Todo
"[BUG-08] Alerta de falha do follow-up pode se perder e usa a instancia do cliente","Em src/app/api/cron/follow-up/route.ts:366 a flag alertaFalhaEnviado vira true ANTES de enviarHumanizado ter sucesso, e o catch e vazio: se o envio falhar, o alerta se perde na execucao inteira e os leads sao pulados em silencio — a 'regra de ouro' de nunca ficar sem aviso nao se cumpre. Alem disso o alerta sai pela instancia de WhatsApp da organizacao do lead que falhou, pro numero pessoal fixo 5527997178981: num cenario multi-tenant, o WhatsApp de uma imobiliaria cliente manda mensagem pro numero pessoal do dev. Correcao: so marcar a flag apos sucesso, logar a falha, e enviar o alerta por uma instancia propria da plataforma (nao a do cliente).",High,"bug,follow-up,multi-tenant",Todo
"[BUG-09] Follow-up perde o modo campanha em conversa longa","O follow-up detecta o lead do Guaruja olhando so as ultimas 15 mensagens do banco, sem a memoria Redis, enquanto o agente Python usa 30 mensagens + memoria. Como a fragmentacao gera varias linhas por resposta, uma conversa da campanha ultrapassa 15 linhas rapido: o contexto do Guaruja some, o Sonnet gera follow-up generico e oferece outros imoveis, violando a regra 'NAO mencione outros imoveis' do modo campanha. Correcao: alinhar a janela com a do agente ou (melhor) ler a flag persistida do BUG-03.",Medium,"bug,follow-up,ia",Todo
"[BUG-10] Cron de follow-up pode estourar 60s e deixar leads sem contato","src/app/api/cron/follow-up/route.ts declara maxDuration 60 mas o laco e estritamente sequencial por lead: classificacao Haiku, geracao Sonnet (mais lenta que o Haiku anterior) com ate 2 tentativas e sleep de 2s entre elas, e enviarHumanizado com atrasos reais de digitacao. Sao varios segundos por lead. Com pouco mais de dez leads elegiveis a funcao bate no teto no meio do laco: os leads restantes nunca sao contatados naquele dia e o JSON de resumo nunca e retornado, entao o corte fica invisivel no monitoramento. Correcao: checar o orcamento de tempo dentro do laco e paginar as execucoes, ou migrar o follow-up pro Railway (ja avaliado como recomendado).",Medium,"bug,follow-up,infra",Todo
"[QUA-01] Centralizar o conhecimento da campanha Guaruja","Os fatos do empreendimento (preco R$ 112.500, entrada 10%, parcela R$ 699,90, entrega dez/2028) estao hardcoded em quatro lugares: src/lib/whatsapp/campanha-guaruja.ts, agent-railway/agente/core/campanha_guaruja.py, o contextoGuaruja inline em src/app/api/cron/follow-up/route.ts:268 e agent-railway/agente-campanha-guaruja/prompts/knowledge.py. Dois desses arquivos se declaram 'FONTE UNICA DA VERDADE' e ja divergem no texto. O projeto ja corrigiu um desalinhamento de preco antes (commit 10cf080). Como TS e Python sao runtimes separados, o import direto e impossivel, mas os fatos podem morar no campo whatsapp_config.prompt_personalizado do banco, que os DOIS codigos ja leem a cada turno — atualizaria os dois sem deploy. Correcao: mover os fatos pro banco ou pra um JSON compartilhado, e exportar CONHECIMENTO_GUARUJA pra eliminar a copia do cron.",Medium,"qualidade,ia,divida-tecnica",Todo
"[QUA-02] Centralizar o numero de alerta","O numero 5527997178981 aparece cru em src/app/api/cron/follow-up/route.ts com o comentario 'mesmo numero do alerter do agente', enquanto o Python ja tem a constante NUMERO_ALERTA em services/alerter.py:17. Se o numero mudar, o Python e atualizado e o cron continua alertando um numero morto — justamente o alerta criado pra avisar que o follow-up parou. Correcao: variavel de ambiente lida pelos dois lados.",Low,"qualidade,divida-tecnica",Todo
"[QUA-03] Atualizar CLAUDE.md e .env.example para a stack Anthropic","O CLAUDE.md ainda declara 'IA: OpenAI GPT-4o-mini (SDK openai)' e lista so OPENAI_API_KEY como obrigatoria, mas o follow-up usa claude-sonnet-4-6 e o agente Python trocou o log pra settings.anthropic_model_default. Quem montar o ambiente seguindo o doc nao configura ANTHROPIC_API_KEY e o follow-up falha em toda execucao — agora sem fallback de template, todos os leads sao pulados. Falta tambem BUFFER_WAIT_FIRST_SECONDS no agent-railway/agente/.env.example (as outras settings de buffer estao la). Correcao: atualizar as duas secoes do CLAUDE.md e o .env.example.",Medium,"documentacao,divida-tecnica",Todo
"[QUA-04] Corrigir redirect orfao para /financeiro","Com MODO_PRODUTO_UNICO = true a pagina /financeiro nao existe mais, mas src/lib/supabase/middleware.ts ainda redireciona pra la nas linhas 57, 102 e 127 quando o trial expira. Um usuario nessa condicao cai num 404. Correcao: apontar o redirect pra /painel ou remover a checagem enquanto o modo produto unico estiver ativo.",Low,"bug,frontend",Todo
